Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C6, C8",0402,4,1uF,C52923
"C10, C9",0402,2,22pF,C1555
"C11, C12, C13, C14, C2, C28, C3, C30, C40, C5, C58, C59, C60",0402,13,100nF,C1525
"C31, C7",0402,2,10uF,C15525
"C32, C41, C42",0402,3,4.7u,C23733
"D1, D12, D2, D3, D4",0805,5,green,C2297
"D13, D7",0805,2,yellow,C2296
D14,0805,1,red,C2295
D5,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,1,WS2812B,C527089
D6,D_SMA,1,MBRA340,C8678
"F1, F2",1206,2,500mA,C70076
J1,PinHeader_1x05_P2.54mm_Horizontal,1,SWD,C492404
"J11, J12",DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,2,DB9M,C141880
"J13, J7",USB_A_Wuerth_61400826021_Horizontal_Stacked,2,USB_A_Stacked,C456021
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L2,L_Changjiang_FTC201610D,1,3.3u,C42411119
"R1, R10, R11, R12, R14, R45, R46, R47, R6, R7, R9",0402,11,1k,C11702
R13,0402,1,220,C25091
"R2, R3",0402,2,5k1,C25905
R20,0402,1,100,C25076
R21,0402,1,10k,C25744
R33,0402,1,33,C25105
"R4, R5",0603,2,27R,C25190
R51,0402,1,22,C25092
"RN1, RN2, RN3",R_Array_Concave_4x0603,3,10k,C110924
SW1,SW_SPST_TL3342,1,Boot,C318884
"U10, U9",TSSOP-14_4.4x5mm_P0.65mm,2,74LCX07,C2676034
U11,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q64JVS,C179171
U3,SOT-23-6,1,USBLC6-2SC6,C2827654
U5,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias,1,CH334P,C5373042
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C20625731
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
