Designator,Mid X,Mid Y,Rotation,Layer
C1,181.0,-66.8808,0.0,top
C10,175.76,-77.92,180.0,top
C11,180.9928,-65.8058,0.0,top
C12,171.41,-77.36,0.0,top
C13,168.99,-63.91,180.0,top
C14,179.64,-72.7,270.0,top
C2,180.995,-68.1,0.0,top
C28,164.8,-110.1528,270.0,top
C29,182.4482,-99.2886,0.0,top
C3,168.05,-67.8,270.0,top
C30,164.8,-112.2864,270.0,top
C31,164.8,-114.42,90.0,top
C32,180.99,-64.58,0.0,top
C40,166.6976,-104.4956,0.0,top
C41,173.45,-62.15,180.0,top
C42,178.34,-61.82,0.0,top
C5,179.7,-54.4,90.0,top
C58,180.721,-103.2256,270.0,top
C59,181.48,-89.39,180.0,top
C6,181.41,-62.61,270.0,top
C60,167.8432,-52.832,180.0,top
C7,180.34,-62.6,90.0,top
C8,171.4,-76.06,0.0,top
C9,173.43,-77.91,0.0,top
D1,186.537666,-50.5,180.0,top
D12,186.537666,-64.35,180.0,top
D13,186.537666,-66.45,180.0,top
D14,186.537666,-68.55,180.0,top
D2,186.555717,-82.4,180.0,top
D3,186.543529,-80.2,180.0,top
D4,186.537666,-78.0,180.0,top
D5,168.45,-120.33,0.0,top
D6,167.95,-45.525,270.0,top
D7,186.537666,-48.3108,180.0,top
F1,168.275,-106.6292,0.0,top
F2,162.8648,-104.013,0.0,top
H1,162.725,-44.225,0.0,top
H2,185.725,-102.225,0.0,top
H3,185.725,-44.225,0.0,top
J1,184.35,-90.985,90.0,top
J11,155.505331,-56.275,180.0,top
J12,155.53,-88.33,180.0,top
J13,175.96,-113.825,90.0,top
J2,175.053,-45.1,180.0,top
J3,162.725,-73.225,0.0,top
J7,159.675,-113.825,270.0,top
L2,175.77,-61.74,180.0,top
R1,183.65,-58.35,180.0,top
R10,184.193217,-82.404539,270.0,top
R11,184.125,-80.225,270.0,top
R12,184.125,-78.075,270.0,top
R13,178.2,-74.3,270.0,top
R14,183.9722,-48.3596,90.0,top
R2,177.24,-49.59,270.0,top
R20,152.09,-106.39,0.0,top
R21,165.03,-120.62,90.0,top
R3,171.4,-49.5,270.0,top
R33,178.38,-63.13,180.0,top
R4,171.75,-52.1,180.0,top
R45,184.1246,-64.3382,90.0,top
R46,184.14,-66.55,90.0,top
R47,184.1246,-68.7324,90.0,top
R5,178.25,-52.09,0.0,top
R51,170.7,-73.82,180.0,top
R6,178.49,-78.41,180.0,top
R7,173.73,-75.36,90.0,top
R9,183.95,-50.5,90.0,top
RN1,169.8,-103.29,0.0,top
RN2,173.9,-103.28,0.0,top
RN3,178.07,-103.27,0.0,top
SW1,184.7,-54.7,0.0,top
TP1,171.4246,-76.581,0.0,bottom
TP2,171.4246,-80.781,0.0,bottom
TP3,171.4246,-82.881,0.0,bottom
TP4,171.4246,-78.681,0.0,bottom
U10,178.25,-92.8075,0.0,top
U11,174.425,-68.45,0.0,top
U2,174.375,-57.225,270.0,top
U3,175.006,-51.181,0.0,top
U5,168.845,-111.465,0.0,top
U9,170.23,-92.82,0.0,top
Y1,174.59,-80.48,180.0,top
Y3,167.74,-115.49,0.0,top
