Designator,Mid X,Mid Y,Rotation,Layer
C1,179.6,-63.5,90.0,top
C10,176.6,-79.369506,180.0,top
C11,181.75,-67.8,270.0,top
C12,182.6,-70.95,90.0,top
C13,182.425,-62.525,0.0,top
C14,171.196,-65.913,270.0,top
C15,143.180251,-63.580549,90.0,top
C16,129.30705,-64.40745,90.0,top
C17,128.4224,-73.5076,270.0,top
C18,117.55,-53.62,90.0,top
C19,119.55,-53.62,90.0,top
C2,178.45,-63.5,90.0,top
C20,121.55,-53.62,90.0,top
C21,123.55,-53.62,90.0,top
C22,118.55,-53.62,90.0,top
C23,120.55,-53.62,90.0,top
C24,122.55,-53.62,90.0,top
C25,124.55,-53.62,90.0,top
C26,131.0132,-55.2196,0.0,top
C27,154.714,-81.8896,0.0,top
C28,163.2,-84.4,180.0,top
C29,163.2,-83.35,0.0,top
C3,177.9,-76.9,0.0,top
C30,163.2,-85.6,0.0,top
C31,178.8668,-86.7664,90.0,top
C32,163.195,-86.65,0.0,top
C33,134.3141,-41.389,180.0,top
C34,138.7337,-41.389,0.0,top
C35,139.2428,-43.9928,90.0,top
C36,133.1468,-46.2788,180.0,top
C37,141.3256,-48.9204,270.0,top
C38,141.1213,-52.311,90.0,top
C39,139.3433,-52.311,90.0,top
C4,145.3388,-68.7324,180.0,top
C40,108.45,-99.3,270.0,top
C41,133.4516,-60.7568,270.0,top
C42,132.4356,-60.7568,270.0,top
C43,132.25,-77.6224,90.0,top
C44,131.25,-77.6224,90.0,top
C45,147.7218,-57.9208,270.0,top
C46,135.0264,-60.2996,270.0,top
C47,148.30625,-63.08665,270.0,top
C48,140.2,-62.8,180.0,top
C49,139.3444,-75.2856,180.0,top
C5,180.3908,-82.6008,0.0,top
C50,140.8176,-75.3364,90.0,top
C51,167.2844,-43.8912,90.0,top
C52,167.5384,-41.5544,0.0,top
C53,162.5092,-41.5544,180.0,top
C54,161.5948,-46.5836,180.0,top
C55,168.85,-48.65,270.0,top
C56,167.05,-52.1,90.0,top
C57,168.7,-52.1,90.0,top
C58,113.4364,-82.2,90.0,top
C59,100.9904,-92.325,90.0,top
C6,182.1,-64.75,270.0,top
C60,114.125,-87.35,270.0,top
C61,141.25,-85.75,270.0,top
C7,181.0,-64.75,90.0,top
C8,169.672,-70.4088,180.0,top
C9,176.6,-80.719506,0.0,top
D1,187.2,-50.5,180.0,top
D10,180.1876,-100.5332,90.0,top
D11,142.8496,-104.2416,90.0,top
D12,113.335354,-50.200523,90.0,top
D13,111.057213,-50.200523,90.0,top
D14,108.737601,-50.200523,90.0,top
D15,106.496601,-50.200523,90.0,top
D16,104.193744,-50.200523,90.0,top
D17,101.875,-50.2125,90.0,top
D18,131.1148,-53.594,0.0,top
D2,186.555717,-82.444539,180.0,top
D3,186.543529,-80.215264,180.0,top
D4,186.537666,-78.007331,180.0,top
D5,110.6932,-43.688,270.0,top
D7,159.6644,-104.0892,90.0,top
D8,159.6644,-100.5332,90.0,top
D9,180.1876,-104.0892,90.0,top
F1,141.25,-91.25,90.0,top
F2,161.8488,-92.1512,90.0,top
FB3,130.302,-60.8076,0.0,top
FB4,129.25,-77.6732,0.0,top
J1,184.9,-70.18,270.0,top
J11,109.055331,-69.825,180.0,top
J12,125.2728,-97.92,270.0,top
J13,172.1104,-93.7048,0.0,top
J2,175.053,-45.1,180.0,top
J3,165.1,-71.6788,90.0,top
J4,151.2547,-49.4188,180.0,top
J5,122.936,-47.05,180.0,top
J6,124.5268,-87.7824,90.0,top
J7,151.6024,-93.7308,0.0,top
J8,134.79,-91.25,90.0,top
L1,135.4825,-50.8082,270.0,top
L3,163.75,-50.9,270.0,top
R1,185.3,-62.15,180.0,top
R10,184.193217,-82.404539,90.0,top
R11,184.081029,-80.185264,90.0,top
R12,184.075166,-77.987331,90.0,top
R13,185.8264,-91.948,0.0,top
R14,185.8772,-84.5312,0.0,top
R15,188.1632,-91.948,180.0,top
R16,188.1124,-84.5312,0.0,top
R17,143.180251,-61.599349,90.0,top
R18,163.25,-62.25,90.0,top
R19,165.25,-62.2808,270.0,top
R2,177.35,-49.784,270.0,top
R20,111.3536,-46.5328,90.0,top
R21,110.0836,-46.5328,90.0,top
R22,130.52625,-75.17705,0.0,top
R23,156.64192,-57.9128,90.0,top
R24,155.49892,-57.9148,90.0,top
R25,151.1277,-57.9128,90.0,top
R26,170.9,-72.5,0.0,top
R27,149.9847,-57.9128,90.0,top
R28,148.9687,-57.9128,90.0,top
R29,142.964,-81.9896,180.0,top
R3,171.4,-49.5,270.0,top
R30,154.714,-84.6896,180.0,top
R31,154.714,-83.3396,0.0,top
R32,142.964,-84.5396,180.0,top
R33,176.022,-85.09,0.0,top
R34,176.022,-86.36,0.0,top
R35,142.9004,-101.7524,180.0,top
R36,157.7802,-57.9208,90.0,top
R37,140.6641,-43.9928,90.0,top
R38,139.8524,-46.3296,0.0,top
R39,140.0545,-48.9204,270.0,top
R4,171.4,-52.0,270.0,top
R40,164.25,-62.25,270.0,top
R41,129.0,-53.6,90.0,top
R42,125.6,-53.6,270.0,top
R43,126.65,-53.6,270.0,top
R44,127.7,-53.6,270.0,top
R45,113.261555,-52.537046,0.0,top
R46,110.978802,-52.537046,0.0,top
R47,108.663802,-52.537046,0.0,top
R48,106.422802,-52.537046,0.0,top
R49,104.119945,-52.537046,0.0,top
R5,178.2,-52.6,270.0,top
R50,101.758201,-52.549023,0.0,top
R51,173.3,-75.6,180.0,top
R52,144.6276,-66.3956,180.0,top
R53,168.656,-43.8912,90.0,top
R54,167.825,-48.65,270.0,top
R55,166.775,-48.665,90.0,top
R56,138.7348,-48.9204,90.0,top
R57,166.25,-62.2808,270.0,top
R58,130.25,-84.0,180.0,top
R6,180.85,-76.1,180.0,top
R7,176.62,-78.219506,180.0,top
R8,167.9956,-46.1264,0.0,top
R9,184.7,-50.5,90.0,top
RN1,107.4,-96.525,0.0,top
RN2,103.55,-96.5,0.0,top
RN3,115.425,-92.3,0.0,top
SW1,186.3,-56.6,270.0,top
SW2,185.1152,-95.5548,0.0,top
SW3,185.1152,-88.2904,0.0,top
U1,164.4396,-44.6024,270.0,top
U10,110.575,-89.775,90.0,top
U11,135.725,-85.8674,270.0,top
U2,174.45,-59.4,180.0,top
U3,175.006,-51.181,0.0,top
U4,176.827473,-70.054107,0.0,top
U5,135.19985,-69.03065,270.0,top
U6,148.8655,-83.8756,270.0,top
U7,169.799,-83.566,0.0,top
U8,136.2812,-44.9958,270.0,top
U9,104.25,-89.8,90.0,top
Y1,179.95,-79.6,180.0,top
Y2,145.530651,-62.546949,90.0,top
Y3,159.35,-83.9,0.0,top
