Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C6",0805,4,100nF,C49678
C10,0805,1,22µF,C45783
"C4, C7",0805,2,1uF,C28323
C5,0805,1,10uF,C15850
D1,SOD-128_L3.7-W2.5-LS4.7-RD,1,TVS DIODE 5V,C426873
"D11, D5, D6, D8, D9",D_SOT-23,5,BAT54,C22466368
"D19, D2, D20, D3, D4, D7",0805,6,green,C2297
F1,0805,1,Reset Fuse 6V 2A,C70158
H5,HDR-TH_8P-P2.54-H-M-R2-C4-S2.54-N,1,2x4 Pinheader horizontal,
"J1, J2",DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,2,Joystick,C141880
"J11, J12",USB_A_Wuerth_61400826021_Horizontal_Stacked,2,USB_A_Stacked,C456021
"J4, J7, J8, J9",PinSocket_1x20_P2.54mm_Vertical,4,Conn_01x20_Pin,C18078139
J5,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,C492410
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,12,2N7002,C8545
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R21, R22, R23, R24, R25, R26, R27, R3, R4, R5, R6, R7, R8, R9",0805,24,10k,C17414
"R18, R19, R20, R31, R32",0805,5,560,C28636
"R28, R29",0805,2,5.1K,
R30,0805,1,470,C28636
U1,TYPE-C-SMD_XUNPU_TYPEC-250C-BRP6,1,USB_C_Receptacle_PowerOnly_6P,C5374812
U4,SSOP-28_3.9x9.9mm_P0.635mm,1,CH334U,C5187524
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
