Designator,Mid X,Mid Y,Rotation,Layer
C1,94.242,-90.8,0.0,top
C10,95.442,-50.85,180.0,top
C11,95.442,-53.1,180.0,top
C3,94.242,-92.9,0.0,top
C4,148.892,-71.3,180.0,top
C5,144.7595,-60.7,270.0,top
C6,142.692,-60.7,270.0,top
C7,146.792,-60.7,270.0,top
D1,102.392,-48.3,0.0,top
D11,94.032,-73.05,0.0,top
D19,117.152,-93.3675,270.0,top
D2,129.202,-93.3675,270.0,top
D20,119.392,-93.3575,270.0,top
D3,126.962,-93.3675,270.0,top
D4,124.712,-93.3675,270.0,top
D5,94.032,-76.65,0.0,top
D6,94.032,-87.45,0.0,top
D7,121.622,-93.3675,270.0,top
D8,94.032,-83.85,0.0,top
D9,94.032,-80.25,0.0,top
F1,96.392,-48.3,180.0,top
H5,123.177034,-50.691,180.0,top
J1,81.152331,-67.09,270.0,top
J11,143.942,-81.96,0.0,top
J12,143.942,-52.19,180.0,top
J2,162.592,-67.1375,90.0,top
J4,89.022,-66.58,0.0,top
J5,100.822,-51.8,270.0,top
J7,109.342,-66.58,0.0,top
J8,114.341,-64.53,0.0,top
J9,132.122,-64.52,0.0,top
Q1,82.9045,-49.1,0.0,top
Q10,161.267,-42.05,180.0,top
Q11,160.892,-88.6,180.0,top
Q12,161.3295,-45.55,180.0,top
Q2,82.892,-85.15,0.0,top
Q3,82.9045,-42.1,0.0,top
Q4,82.892,-92.15,0.0,top
Q5,82.9045,-45.6,0.0,top
Q6,82.892,-88.65,0.0,top
Q7,160.9295,-85.0375,180.0,top
Q8,161.3295,-49.05,180.0,top
Q9,160.892,-92.15,180.0,top
R1,79.592,-85.1,270.0,top
R10,85.9045,-49.1,270.0,top
R11,164.767,-49.14,90.0,top
R12,85.9045,-42.1,270.0,top
R13,85.9045,-45.6,270.0,top
R14,168.892,-49.14,90.0,top
R15,166.892,-49.14,90.0,top
R16,164.892,-85.1,270.0,top
R17,168.892,-85.1,270.0,top
R18,124.092,-76.25,90.0,top
R19,121.792,-76.25,90.0,top
R2,75.192,-85.1,270.0,top
R20,119.502,-76.25,90.0,top
R21,166.892,-85.1,270.0,top
R22,158.267,-49.0125,90.0,top
R23,158.267,-42.0125,90.0,top
R24,158.267,-45.5125,90.0,top
R25,157.492,-85.0875,90.0,top
R26,157.4545,-92.0125,90.0,top
R27,157.4545,-88.5125,90.0,top
R28,92.892,-44.1,270.0,top
R29,105.392,-44.1,270.0,top
R3,77.392,-85.1,270.0,top
R30,100.1045,-78.5,180.0,top
R31,114.2795,-91.6,180.0,top
R32,93.152,-60.6875,90.0,top
R4,79.592,-49.15,90.0,top
R5,75.192,-49.15,90.0,top
R6,77.392,-49.15,90.0,top
R7,85.892,-85.15,270.0,top
R8,85.892,-92.15,270.0,top
R9,85.892,-88.65,270.0,top
U1,99.192,-43.2,180.0,top
U4,144.442,-66.4,0.0,top
Y1,140.492,-72.1,180.0,top
