Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C6, C8",0402,4,1uF,C52923
"C10, C37, C55, C9",0402,4,22pF,C1555
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C3, C30, C35, C36, C4, C40, C45, C46, C47, C48, C49, C5, C50, C51, C54, C58, C59, C60, C62, C63, C64, C65, C66, C67, C68",0402,44,100nF,C1525
"C31, C7",0402,2,10uF,C15525
"C33, C53",0603,2,10uF,C19702
"C34, C39, C52, C57",0603,4,100nF,C14663
"C38, C56",0603,2,22uF,C84419
"D1, D12, D13, D14, D15, D16, D17, D6",0805,8,green,C2297
D18,D_SOD-323,1,1N5819WS,C191023
D2,0805,1,Mouse,C2297
D3,0805,1,Keyboard,C2297
D4,0805,1,Joystick,C2297
D5,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
"F1, F2",1206,2,500mA,C70076
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,C492404
J11,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick 0,C141880
J12,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick 1,C141880
"J13, J7",USB_A_Wuerth_61400826021_Horizontal_Stacked,2,USB_A_Stacked,C456021
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J4,TF-015,1,Micro_SD_Card_Det1,C393941
J5,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,C720616
"L1, L3",L_Sunlord_MWSA0402S,2,3.3uH,C408336
"R1, R15, R16, R22, R30, R6, R7",0402,7,1k,C11702
"R10, R11, R12, R45, R46, R47, R48, R49, R50, R9",0402,10,560,C163460
"R13, R14",0402,2,330,C105875
"R17, R26, R51, R60",0402,4,22,C25092
"R18, R19, R29, R31, R32, R59, R61, R62",0402,8,4k7,C25900
"R2, R3",0402,2,5k1,C25905
R20,0402,1,100,C25076
"R21, R23, R24, R25, R27, R28, R36, R41, R42, R43, R44",0402,11,10k,C25744
"R37, R53",0402,2,47k,C25792
"R38, R8",0402,2,30k,C138008
R39,0402,1,12k 1%,C25752
"R4, R5",0603,2,27R,C25190
R54,0402,1,15k 1%,C25756
R55,0402,1,3k3 1%,C25890
R56,0402,1,18k 1%,C138044
"RN1, RN2, RN3",R_Array_Concave_4x0603,3,10k,C110924
SW1,SW_SPST_TL3342,1,Boot,C318884
SW2,SW_SPST_TL3342,1,KEY1,C318884
SW3,SW_SPST_TL3342,1,KEY2,C318884
"U1, U8",TSOT-23-6,2,SY8113BADC,C78989
"U10, U9",TSSOP-14_4.4x5mm_P0.65mm,2,74LCX07,C2676034
U12,QSOP-16_3.9x4.9mm_P0.635mm,1,CH334R,C4154405
U13,TSOP-II-54_22.2x10.16mm_P0.8mm,1,MT48LC16M16A2TG,C62246
"U2, U6",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q64JVS,C179171
U3,SOT-23-6,1,USBLC6-2SC6,C2827654
U4,RP2040-QFN-56,1,RP2040,C2040
U7,LQFP-144_20x20mm_P0.5mm,1,GW3A-LV20-Q144,
"Y1, Y3",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,50MHz,C2901592
