Designator,Mid X,Mid Y,Rotation,Layer
C1,179.6,-63.5,90.0,top
C10,176.6,-79.369506,180.0,top
C11,181.75,-67.8,270.0,top
C12,182.6,-70.95,90.0,top
C13,182.425,-62.525,0.0,top
C14,171.196,-65.913,270.0,top
C15,106.75,-62.73,270.0,top
C16,137.25,-82.0,90.0,top
C17,109.9,-73.5,270.0,top
C18,136.5,-92.495,270.0,top
C19,134.5,-92.495,270.0,top
C2,178.45,-63.5,90.0,top
C20,132.5,-92.495,270.0,top
C21,130.5,-92.495,270.0,top
C22,135.5,-92.495,270.0,top
C23,133.5,-92.495,270.0,top
C24,131.5,-92.495,270.0,top
C25,129.5,-92.495,270.0,top
C26,123.0368,-90.8954,180.0,top
C27,154.0,-72.0,180.0,top
C28,166.2404,-85.8012,180.0,top
C29,166.2404,-84.5012,0.0,top
C3,177.9,-76.9,0.0,top
C30,176.1,-87.3,90.0,top
C31,174.8,-87.3,90.0,top
C33,157.009186,-61.125086,90.0,top
C34,157.009186,-65.544686,270.0,top
C35,154.405386,-66.053786,0.0,top
C36,152.119386,-59.957786,90.0,top
C37,149.477786,-68.136586,180.0,top
C38,146.087186,-67.932286,0.0,top
C39,146.087186,-66.154286,0.0,top
C4,136.25,-58.25,90.0,top
C40,87.75,-98.25,0.0,top
C45,112.75,-46.5,0.0,top
C46,138.25,-73.5,180.0,top
C47,101.624001,-63.223899,90.0,top
C48,94.5,-86.25,180.0,top
C49,123.7,-86.7,180.0,top
C5,180.3908,-82.6008,0.0,top
C50,136.75,-66.0,270.0,top
C51,167.2844,-43.8912,90.0,top
C52,167.5384,-41.5544,0.0,top
C53,162.5092,-41.5544,180.0,top
C54,161.5948,-46.5836,180.0,top
C55,168.85,-48.65,270.0,top
C56,167.05,-52.1,90.0,top
C57,168.7,-52.1,90.0,top
C58,98.75,-91.75,270.0,top
C59,110.0,-83.0,90.0,top
C6,182.1,-64.75,270.0,top
C60,118.0,-87.9,0.0,top
C62,131.7,-87.0,0.0,top
C63,134.75,-63.5,270.0,top
C64,111.8616,-84.0232,0.0,top
C65,110.25,-64.75,270.0,top
C66,135.75,-85.5,0.0,top
C67,122.4,-42.3,180.0,top
C68,112.75,-54.5,90.0,top
C7,181.0,-64.75,90.0,top
C8,169.5,-70.0,180.0,top
C9,176.6,-80.719506,0.0,top
D1,187.2,-50.5,180.0,top
D12,90.813799,-44.663477,90.0,top
D13,93.068411,-44.663477,90.0,top
D14,95.313799,-44.663477,90.0,top
D15,97.563799,-44.663477,90.0,top
D16,99.813799,-44.6515,90.0,top
D17,102.106799,-44.663477,90.0,top
D18,122.7,-92.521,180.0,top
D2,186.555717,-82.444539,180.0,top
D3,186.543529,-80.215264,180.0,top
D4,186.537666,-78.007331,180.0,top
D5,107.3396,-44.1452,270.0,top
D6,151.25,-81.51,180.0,top
D7,151.25,-84.01,180.0,top
F1,102.25,-91.75,0.0,top
F2,161.8488,-92.1512,90.0,top
H1,85.0,-102.0,0.0,top
H2,185.0,-102.0,0.0,top
H3,185.0,-45.0,0.0,top
H4,85.0,-45.0,0.0,top
J1,184.9,-70.18,270.0,top
J11,89.405331,-68.845,180.0,top
J12,105.5,-97.594669,270.0,top
J13,172.1104,-93.7048,0.0,top
J2,175.053,-45.1,180.0,top
J3,164.5,-71.73,0.0,top
J4,151.2547,-49.4188,180.0,top
J5,131.1,-100.0,0.0,top
J6,103.25,-71.75,270.0,top
J7,151.6024,-93.7308,0.0,top
J8,103.04,-77.0,90.0,top
L1,147.589986,-62.293486,180.0,top
L3,163.75,-50.9,270.0,top
R1,185.3,-62.15,180.0,top
R10,184.193217,-82.404539,90.0,top
R11,184.081029,-80.185264,90.0,top
R12,184.075166,-77.987331,90.0,top
R13,185.8264,-91.948,0.0,top
R14,185.8772,-84.5312,0.0,top
R15,188.1632,-91.948,180.0,top
R16,188.1124,-84.5312,0.0,top
R17,106.75,-64.7112,270.0,top
R18,173.25,-76.75,0.0,top
R19,169.75,-76.0,270.0,top
R2,177.35,-49.784,270.0,top
R20,106.75,-47.01,90.0,top
R21,108.0,-47.0,90.0,top
R23,146.2,-56.98,90.0,top
R24,166.0,-58.2,270.0,top
R25,164.5,-58.2,270.0,top
R26,171.25,-72.5,0.0,top
R27,148.9,-56.98,90.0,top
R28,147.6,-56.98,90.0,top
R29,146.25,-73.75,180.0,top
R3,171.4,-49.5,270.0,top
R30,158.25,-76.25,180.0,top
R31,158.24,-75.0,0.0,top
R32,146.25,-76.25,180.0,top
R36,162.8,-58.2,270.0,top
R37,154.405386,-67.475086,0.0,top
R38,152.068586,-66.663386,270.0,top
R39,149.477786,-66.865486,180.0,top
R4,171.4,-52.0,270.0,top
R41,125.05,-92.515,270.0,top
R42,128.45,-92.515,90.0,top
R43,127.4,-92.515,90.0,top
R44,126.35,-92.515,90.0,top
R45,90.74,-47.0,0.0,top
R46,92.99,-47.0,0.0,top
R47,95.24,-47.0,0.0,top
R48,97.49,-47.0,0.0,top
R49,99.74,-46.988023,0.0,top
R5,178.2,-52.6,270.0,top
R50,101.99,-47.0,0.0,top
R51,173.25,-75.6,180.0,top
R52,148.24,-81.51,270.0,top
R53,168.656,-43.8912,90.0,top
R54,167.825,-48.65,270.0,top
R55,166.775,-48.665,90.0,top
R56,149.477786,-65.545786,0.0,top
R57,148.25,-84.01,270.0,top
R59,168.5,-76.0,270.0,top
R6,180.85,-76.1,180.0,top
R60,152.75,-57.25,0.0,top
R7,176.62,-78.219506,180.0,top
R8,167.9956,-46.1264,0.0,top
R9,184.7,-50.5,90.0,top
RN1,87.0,-95.875,0.0,top
RN2,83.15,-95.85,0.0,top
RN3,95.025,-91.65,0.0,top
SW1,185.1152,-56.6,0.0,top
SW2,185.1152,-95.5548,0.0,top
SW3,185.1152,-88.27,0.0,top
U1,164.4396,-44.6024,270.0,top
U10,90.175,-89.125,90.0,top
U12,171.0,-83.8,0.0,top
U13,125.5507,-50.1551,0.0,top
U2,174.45,-59.4,180.0,top
U3,175.006,-51.181,0.0,top
U4,176.827473,-70.054107,0.0,top
U6,152.2549,-75.5666,270.0,top
U7,123.835,-73.8375,90.0,top
U8,153.402386,-63.092186,180.0,top
U9,83.85,-89.15,90.0,top
Y1,179.95,-79.6,180.0,top
Y2,104.3996,-63.7636,270.0,top
Y3,163.068,-84.074,0.0,top
